20240629	21:54:16	695b430e-8f50-4755-910c-a5517ba8104a	GET	 undefined	 /
20240630	11:28:33	63b5b265-a1ca-41b7-ad50-a5c311e71fa8	GET	 null	 /
20240630	11:29:33	118572e5-dffe-4315-a4ea-56db8a34cfbe	GET	 undefined	 /
20240630	11:29:34	0b54ac3f-a392-4dd0-aac5-cd5087d50a7f	GET	 undefined	 /
20240630	11:29:34	d5cf9b28-ea63-46d4-9f27-548c39e6ec5b	GET	 undefined	 /
20240630	11:29:38	a166aa63-415b-4c2d-9282-e4415b992a4d	GET	 undefined	 /tg
20240630	11:29:38	d2b3bbde-e2e7-4b9b-8a26-8cc2839a5703	GET	 undefined	 /css/style.css
20240630	11:31:32	3f84bfcb-080f-4b53-88dd-33a992783916	GET	 undefined	 /tg
20240630	11:31:33	bd3fa127-d86c-4244-9600-76b6105c8f1a	GET	 undefined	 /tg
20240630	11:32:56	e5556d72-bae6-42d3-afc0-278dededafa8	GET	 undefined	 /tg
20240630	11:32:56	c53bdb73-976b-4a03-a0cb-e3f52fb056b1	GET	 undefined	 /css/style.css
20240630	11:32:57	4633926b-7cec-4ceb-9c81-7c52021474d9	GET	 undefined	 /tg
20240630	11:32:57	09818d9e-dd89-4805-8e5e-adbd34ca00b3	GET	 undefined	 /css/style.css
20240630	11:33:10	bc955306-382d-4244-aea7-63ae495bc1d2	OPTIONS	 https://www.google.com	 /
20240630	11:33:10	650c260b-fe0c-4a4f-8116-ccfa182f2b25	GET	 https://www.google.com	 /
20240630	11:33:26	31d11362-acf6-47a3-9469-777809c291ce	OPTIONS	 https://www.google.com	 /
20240630	11:33:26	92f69123-1455-4ca3-98ae-f228519e4bce	GET	 https://www.google.com	 /
20240630	11:40:21	7b529774-6281-420e-964b-8dcaa67fe12a	GET	 undefined	 /tg
20240630	11:40:21	d76b75f9-a56f-45da-934e-dba9913d9874	GET	 undefined	 /css/style.css
20240630	11:40:24	4fcfd11a-0d06-4d40-a91d-3f973a0f90a4	OPTIONS	 https://www.google.com	 /
20240630	11:40:24	f10c8e36-7c7a-42d6-8bfb-b55c18fda9a5	GET	 https://www.google.com	 /
20240630	11:42:56	9ffcdda7-e3b6-4bd0-b8c6-191f4cd91ee9	OPTIONS	 https://www.google.com	 /
20240630	11:42:56	93dea6b7-c9e1-42fc-8674-510bfefd6d7b	GET	 https://www.google.com	 /
20240630	11:42:59	6168a681-e971-4f6b-bf30-4e09fd7ef06a	OPTIONS	 https://www.google.com	 /
20240630	11:42:59	7793dbf5-0d87-4418-b93c-a1f9beaa4039	GET	 https://www.google.com	 /
20240630	11:43:10	9bfa48f7-b924-49c6-9f2f-76c505d113a2	GET	 undefined	 /tg
20240630	11:43:10	aa84f8f0-30e3-4598-a776-80ad9f534a0e	GET	 undefined	 /css/style.css
20240630	11:43:13	4d8a9fe0-fdd6-4eb6-9635-0c69a3f66c44	OPTIONS	 https://www.google.com	 /
20240630	11:43:13	0c36a2a2-caf8-42d2-882a-e63ba27fe94e	GET	 https://www.google.com	 /
20240630	14:34:01	78afaf36-6c3a-48a7-96be-0c39e72b7ef7	GET	 undefined	 /
20240630	14:34:03	ac6ad117-4b4b-49e3-a75f-5863101cce4d	GET	 undefined	 /favicon.ico
20240630	14:34:11	624abac5-4c8a-4319-aaca-d3de515dbbd0	GET	 undefined	 /subdir
20240630	14:34:11	774135d2-ba3d-4747-a949-44fb85368f46	GET	 undefined	 /css/style.css
20240630	14:39:18	3322e428-bf8b-49a3-bd87-42e725e2ae74	GET	 undefined	 /subdir
20240630	14:42:29	6754d709-8e1d-4e65-92a1-396f9811f631	GET	 undefined	 /subdir
20240630	14:42:43	69babf02-de0a-459c-89b8-46a1e026c6c2	GET	 undefined	 /subdir
20240630	14:42:46	e739769b-7415-41fa-bcb6-59de8e259290	GET	 undefined	 /
20240630	14:42:49	ef372e73-8922-4752-b1e3-d8e700d1a6fa	GET	 undefined	 /
20240630	14:42:50	96d011e2-a662-4e9c-ab62-394c52646448	GET	 undefined	 /
20240630	14:42:50	1279280f-b853-44fb-a7dd-1f94c6b2071f	GET	 undefined	 /
20240630	14:42:50	7228fe40-7113-4a81-bcad-790570ece40b	GET	 undefined	 /
20240630	14:42:50	cc4d14ec-1beb-46ca-9e49-7de296f96b1e	GET	 undefined	 /
20240630	14:42:51	40ab95bc-0c94-4bb0-8c96-826432f90f4c	GET	 undefined	 /
20240630	14:42:51	dc50a01c-4a5f-410a-8b1b-c1ece5c3fef9	GET	 undefined	 /
20240630	14:42:51	e29edd1f-1d24-4e46-b2d5-690a6e351252	GET	 undefined	 /
20240630	14:42:51	4d2e11b8-66a1-4ebd-9bb5-38855a2768ca	GET	 undefined	 /
20240630	14:42:51	5fea6dd9-db1b-40dc-99ad-1e8bd85f1170	GET	 undefined	 /
20240630	14:42:52	7f5ca0fc-70de-4be2-a082-2572029e8421	GET	 undefined	 /
20240630	14:42:54	ec683d5b-68c0-4637-9e31-8b1342253281	GET	 undefined	 /
20240630	14:42:57	fb9062b2-3700-416f-8610-0e27a1ce5aea	GET	 undefined	 /
20240630	14:43:38	4f1969cc-8b22-4c0e-9984-f4fcdb03af1a	GET	 undefined	 /
20240630	14:43:43	77823398-488c-47e3-a06b-a7c3ac0e0a42	GET	 undefined	 /newpage
20240630	14:44:38	0c17d540-c1f0-4872-9713-600340e3a35a	GET	 undefined	 /newpage
20240630	14:44:42	85e37b15-3607-4bc6-a09f-cee0ffa14447	GET	 undefined	 /newpage/uiyh
20240630	14:44:42	5c44f2fb-b61c-40dc-9dbc-30c45dc35858	GET	 undefined	 /newpage/css/style.css
20240630	14:44:45	6d5fb1cc-74f6-4ae4-8760-87d9710b9469	GET	 undefined	 /newpage/uiyh/h/
20240630	14:44:45	60e1f5e2-add0-4640-8725-85aa33ec61a4	GET	 undefined	 /newpage/uiyh/h/css/style.css
20240630	14:44:54	96d02866-8b6f-4396-8fb8-014ea4775afd	GET	 undefined	 /newpage
20240630	14:44:58	3a31bf89-788f-462d-b702-8d8d2237c282	GET	 undefined	 /newpage/ed
20240630	14:44:58	beebbe03-2043-4c73-9972-278b7db4cec4	GET	 undefined	 /newpage/css/style.css
20240630	14:45:04	11a8a587-d6db-4ebf-a5ab-e737363f2305	GET	 undefined	 /newpage/ed/fsd
20240630	14:45:04	a2eea52c-bfb2-4b18-af84-6b1b5eca8126	GET	 undefined	 /newpage/ed/css/style.css
20240630	14:46:11	67b1acfc-2d98-48af-8679-29111cce8e42	GET	 undefined	 /newpage/ed/fsd
20240630	14:46:11	661e63b4-2f4f-4e23-b2d1-8faab03e3ee9	GET	 undefined	 /newpage/ed/css/style.css
20240630	14:46:12	5aabc745-4ef6-4ec8-98cd-b334bb36ed19	GET	 undefined	 /newpage/ed/fsd
20240630	14:46:12	dc9e7a98-554a-4423-99eb-a815513c81d2	GET	 undefined	 /newpage/ed/css/style.css
20240630	14:46:12	0ad397c5-4f84-40b1-9417-2adcda09dc3d	GET	 undefined	 /newpage/ed/fsd
20240630	14:46:12	d6c4eb6e-9963-46e3-b836-7d4006df3729	GET	 undefined	 /newpage/ed/css/style.css
20240630	14:46:12	cd6033e0-0bbb-47a6-a29e-3c1108d3db53	GET	 undefined	 /newpage/ed/fsd
20240630	14:46:12	d0abb2ce-afd4-4ee5-8920-3d57dcbfee3a	GET	 undefined	 /newpage/ed/css/style.css
20240630	14:46:13	6e50d65e-6fd4-406d-89f1-e4eccdd16c70	GET	 undefined	 /newpage/ed/fsd
20240630	14:46:13	0d984f5b-4da0-49bc-a250-f3a84f92cce6	GET	 undefined	 /newpage/ed/css/style.css
20240630	14:46:13	caba866d-472f-455f-ada5-acdbaefc2258	GET	 undefined	 /newpage/ed/fsd
20240630	14:46:13	bdc2f0f2-fd0a-49de-8f5e-bc2c6c88d6f4	GET	 undefined	 /newpage/ed/css/style.css
20240630	14:46:15	8b7facb2-bac8-4645-9f7e-ac7ad474057a	GET	 undefined	 /newpage/ed
20240630	14:46:15	11bd3d99-ceef-4529-bdc7-17599bb0d530	GET	 undefined	 /newpage/css/style.css
20240630	14:46:17	415c3ed7-7c04-499a-8f33-19f37989f45b	GET	 undefined	 /newpage
20240630	19:20:36	91d36db8-55b8-4af1-b046-6f0438029d3f	GET	 undefined	 /
20240630	19:20:37	9c18415b-2dc7-4b5f-9008-0c472f0ebd5a	GET	 undefined	 /favicon.ico
20240630	19:21:22	8477cd47-0b25-4ea5-96b5-ec71ceeea621	GET	 undefined	 /employees
20240630	19:22:43	8c0f241a-c651-4c98-81b8-7e3f58a0a89e	GET	 undefined	 /employees
20240630	19:22:51	681bcd88-f2e8-43b1-9d22-77e856a13de2	GET	 undefined	 /employees
20240630	19:22:51	a4bdf82a-6618-46c7-a17e-13e15008e5f0	GET	 undefined	 /employees
20240630	19:24:30	a41b15d3-8203-4540-a59b-df2fc280e48b	GET	 undefined	 /employees
20240630	19:26:35	8b1e8ded-ebe8-4a8b-97aa-658ea8863c4b	GET	 undefined	 /employees
20240630	19:26:47	a92a3d46-9c85-4f91-9d4b-a28c6dbc6143	GET	 undefined	 /employees
20240630	19:27:19	fd6f1f04-b6bb-41f4-be9f-62b4f29b174e	GET	 undefined	 /employees
20240630	19:27:22	3c338409-b19d-43a8-a576-cffa5f6dfdea	GET	 undefined	 /employees
20240630	19:27:22	b7fa408b-f800-4c20-98af-cee95a02b4fb	GET	 undefined	 /employees
20240630	19:27:26	a86ab4ca-50cc-447d-ba3b-191754390715	GET	 undefined	 /employees
20240630	19:27:26	ddeeeaba-7565-45d8-8b7e-00a20ca45fcc	GET	 undefined	 /employees
20240630	19:27:26	37beafa8-ad91-4a5f-840a-6d569e88a4c9	GET	 undefined	 /employees
20240630	19:27:27	a8f11301-536d-4444-a6d7-69577c3794a7	GET	 undefined	 /employees
20240630	19:30:31	a9ad0708-40ca-4aeb-a75f-74897a39fc53	GET	 undefined	 /employees
20240630	19:30:34	213b391b-d139-4ab8-bb08-ae8c5af62206	GET	 undefined	 /employees
20240630	19:30:47	5fe8675a-246f-496a-828c-b5c977b0989e	GET	 undefined	 /employees
20240630	19:31:40	b9c0e0d8-8e04-40ee-8037-559c11796da1	GET	 undefined	 /employees
20240630	19:31:40	47ff5903-fe6f-4825-a964-795df1a4bc87	GET	 undefined	 /employees
20240630	19:33:01	93442a42-3568-4925-87cf-f71948639fa3	GET	 undefined	 /
20240630	19:33:04	ca32d24d-8187-4688-ae47-bbfa4ae52955	GET	 undefined	 /employees
20240630	19:33:23	24e3fb6e-a8ce-4425-b5f5-fab27d7ecdb7	GET	 undefined	 /employees
20240630	19:33:24	6bba8557-0506-4b85-a1a7-ece3b4dd5fb0	GET	 undefined	 /employees
20240630	19:33:36	f24bd598-dd63-4d67-bdd8-e50dd6f3b5f3	GET	 undefined	 /employees
20240630	19:33:36	d1c6948d-8317-47e4-8061-6b31db42a8f6	GET	 undefined	 /css/style.css
20240630	19:35:47	6292f554-256b-4d10-9ccd-c77125d63681	GET	 undefined	 /employees
20240630	19:36:20	1278b742-fb0e-4fd5-835c-e6dda7853158	POST	 undefined	 /employees
20240630	19:36:36	6b45681c-fea0-4e9f-b175-6d3b0612a5c9	POST	 undefined	 /employees
20240630	19:37:27	26686bb2-aa60-40e6-a1d4-bfbc8a2d8acf	GET	 undefined	 /employees
20240630	19:37:32	d93ce603-347b-45a8-bec8-f0de0897ed8f	GET	 undefined	 /employees
20240630	19:37:42	564d7a0e-9ba9-40da-9c80-ff0ce43cccda	POST	 undefined	 /employees
20240630	19:38:30	fd1a259d-9791-43de-81fc-3ee4c29c88bb	GET	 undefined	 /employees
20240630	19:38:46	fbafe159-d1b3-4527-b728-a5ec911f92d4	GET	 undefined	 /employees
20240630	19:40:24	8070b9b7-50a5-4521-b298-3ab30133b391	GET	 undefined	 /employees
20240630	19:40:33	cf4315e5-1946-4f1d-91b6-04ad75ee8624	GET	 undefined	 /employees
20240630	19:40:33	ad232b5e-fbca-4527-9ad8-7fd9dc066220	GET	 undefined	 /employees
20240630	19:40:34	981c5c89-300e-4be1-a6ce-e78f98a6ce58	GET	 undefined	 /employees
20240630	19:40:34	14b458b5-bdc7-4ff5-b9c4-8e76ced184a8	GET	 undefined	 /employees
20240630	20:14:25	03ba0e7c-e7d4-4922-8b99-75e006eb25cb	GET	 undefined	 /
20240630	20:14:26	35563a99-7c13-43e0-82d9-248a20fec4e2	GET	 undefined	 /favicon.ico
20240630	20:14:51	c9d9fcfb-27b1-441c-990b-db7366fd3627	GET	 undefined	 /employees
20240630	20:15:03	e049a3f3-8bf2-447e-b563-5226141e8104	POST	 undefined	 /employees
20240630	20:15:11	6dc8489d-1e43-4839-89b1-2d0ec3a5d52d	POST	 undefined	 /employees
20240630	20:17:23	d510e468-90aa-4d67-a666-761b5c269e5d	GET	 undefined	 /employees
20240630	20:17:26	f0bee759-7be7-4a1c-b51a-5788b41d57cb	GET	 undefined	 /employees
20240630	20:17:42	aa558d22-4d96-49cf-8c43-3395ec923bf9	GET	 undefined	 /employees
20240630	20:17:43	d9a6f17b-2283-4c20-82d0-b91fc797606d	GET	 undefined	 /employees
20240630	20:17:47	263ee83c-3d54-4893-8c94-42b10b032bfc	GET	 undefined	 /employees
20240630	20:17:52	3dbd1784-50c5-4f03-9036-ae01e7f67ee1	POST	 undefined	 /employees
20240630	20:19:44	3527caa6-c93b-40dd-8d04-d4a4b202f166	GET	 undefined	 /employees
20240630	20:19:49	bedeb999-c71e-48d9-99b1-aa2f0f935ec0	GET	 undefined	 /employees
20240630	20:25:27	74b3da88-fa99-4d59-8461-cb252b65db8d	PUT	 undefined	 /employees
20240630	22:13:10	13fffca1-923b-43d3-8484-304ae1d4a0f6	GET	 undefined	 /
20240630	22:13:16	32a09216-56bb-4fd4-b26e-3fe23f57cb4c	PUT	 undefined	 /employees
20240630	22:13:54	af494dd7-dffc-4b02-b0cf-2026aa9e5fac	GET	 undefined	 /employees
20240630	22:14:07	05a58edc-2bfa-4733-a235-c0098c7bac1f	GET	 undefined	 /employees
20240630	22:14:07	2e10f367-daa3-49cf-9abe-e42ec3663e33	GET	 undefined	 /css/style.css
20240630	22:14:55	64bc3188-55db-4e42-909f-3cf3cff947d9	POST	 undefined	 /employees
20240630	22:15:42	92155c3a-dd97-4cf6-8477-3ea63ff7b620	DELETE	 undefined	 /employees
